model,conversation_thread,scenario_id,choice,reason
llama3.2,-1,2,B,N/A
llama3.2,-1,3,B,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,C,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,A,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,A,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,B,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,B,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,B,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,A,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,A,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,B,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,B,N/A
llama3.2,-1,4,A,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,C,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,B,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,A,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,A,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,A,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,C,N/A
llama3.2,-1,2,A,N/A
llama3.2,-1,3,A,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,A,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,A,N/A
llama3.2,-1,7,A,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,B,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,A,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,A,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,B,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,A,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,A,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,B,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,B,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,A,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,A,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,B,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,A,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,A,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,B,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,B,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,A,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,A,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,B,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,A,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,A,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,A,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,B,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,A,N/A
llama3.2,-1,7,A,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,B,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,B,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,A,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,B,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,A,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,C,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,B,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,A,N/A
llama3.2,-1,7,A,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,B,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,A,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,B,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,A,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,B,N/A
llama3.2,-1,4,A,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,A,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,A,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,A,N/A
llama3.2,-1,7,A,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,A,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,A,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,B,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,B,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,A,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,B,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,C,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,B,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,B,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,B,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,C,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,C,N/A
llama3.2,-1,3,A,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,B,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,A,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,B,N/A
llama3.2,-1,4,C,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,A,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,A,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,A,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,A,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,B,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,C,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,B,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,B,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,A,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,A,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,A,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,B,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,B,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,A,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,A,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,A,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,A,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,A,N/A
llama3.2,-1,4,C,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,A,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,A,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,A,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,C,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,A,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,B,N/A
llama3.2,-1,4,A,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,A,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,A,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,B,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,B,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,A,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,B,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,A,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,C,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,B,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,B,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,A,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,A,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,B,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,C,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,A,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,A,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,B,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,A,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,B,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,A,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,B,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,B,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,B,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,A,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,B,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,A,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,C,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,A,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,B,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,B,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,A,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,C,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,B,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,B,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,A,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,A,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,C,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,B,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,C,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,B,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,C,N/A
llama3.2,-1,6,A,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,B,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,A,N/A
llama3.2,-1,7,A,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,C,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,B,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,B,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,A,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,C,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,A,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,A,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,B,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,B,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,B,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,A,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,A,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,A,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,A,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,B,N/A
llama3.2,-1,7,B,N/A
llama3.2,-1,8,B,N/A
llama3.2,-1,1,B,N/A
llama3.2,-1,2,B,N/A
llama3.2,-1,3,A,N/A
llama3.2,-1,4,B,N/A
llama3.2,-1,5,B,N/A
llama3.2,-1,6,A,N/A
llama3.2,-1,7,B,N/A
